team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
IND,1999,N,3047,6640,1629,2008,842,2612,3454,1857,1786,559,1159,422,583,1487,8306,3113,6982,1374,1821,1040,2545,3585,1735,1910,610,1126,325,329,1006,7929,94.94659,56,26
LAC,1999,N,2877,6757,1363,1826,955,2377,3332,1479,1821,578,1326,494,429,1267,7546,3281,6879,1512,2041,1038,2699,3737,1975,1731,622,1172,382,417,1077,8491,95.74873,15,67
LAL,1999,N,3137,6836,1649,2368,1117,2738,3855,1921,1841,613,1143,532,344,1047,8267,2838,6824,1518,2045,1007,2531,3538,1597,2099,627,1196,359,372,1142,7566,95.59303,67,15
MIA,1999,N,2974,6462,1345,1827,921,2619,3540,1931,1947,582,1231,524,446,1202,7739,2782,6596,1512,2022,974,2341,3315,1582,1795,621,1150,372,408,1130,7484,92.09271,52,30
MIL,1999,N,3174,6827,1558,1982,1016,2373,3390,1852,2020,671,1230,383,394,1069,8298,3033,6644,1685,2241,1037,2368,3404,1987,1870,637,1303,344,531,1357,8282,95.5471,42,40
MIN,1999,N,3226,6910,1379,1769,1016,2471,3487,2205,1913,622,1139,444,248,716,8079,2924,6577,1644,2185,916,2440,3357,1737,1685,591,1232,344,380,1067,7872,94.68066,50,32
NJN,1999,N,2979,6882,1601,2041,1040,2315,3355,1688,1913,720,1119,393,477,1374,8036,3125,6741,1503,2012,1129,2657,3786,1857,1869,568,1366,469,368,1013,8121,95.0225,31,51
NYK,1999,N,2897,6372,1410,1805,802,2521,3323,1588,1983,514,1200,360,351,936,7555,2711,6399,1609,2153,927,2441,3366,1609,1799,602,1160,353,404,1195,7435,91.52435,50,32
ORL,1999,N,3169,7014,1574,2142,1145,2540,3685,1709,1967,743,1443,467,294,870,8206,3076,6919,1567,2104,1094,2473,3567,1991,2008,724,1488,475,431,1277,8150,99.68179,41,41
PHI,1999,N,2993,6776,1577,2226,1147,2468,3615,1817,1939,791,1284,386,208,643,7771,2867,6595,1510,2001,1065,2501,3566,1828,1977,631,1445,529,417,1172,7661,95.17698,49,33
PHO,1999,N,3093,6771,1467,1934,1022,2558,3580,2098,1973,744,1367,433,458,1245,8111,2825,6665,1630,2205,1071,2465,3536,1700,1794,733,1421,425,403,1146,7683,96.41161,53,29
POR,1999,N,3021,6430,1542,2029,966,2560,3526,1925,1865,633,1243,402,407,1128,7991,2825,6557,1422,1985,978,2220,3198,1705,1872,652,1186,350,394,1195,7466,92.09634,59,23
SAC,1999,N,3276,7288,1521,2017,1056,2635,3692,1953,1729,787,1324,381,534,1656,8607,3269,7240,1434,1910,1143,2761,3904,1950,1943,753,1438,403,396,1123,8368,101.6499,44,38
SAS,1999,N,2952,6394,1652,2214,927,2666,3593,1819,1716,614,1234,549,330,883,7886,2884,6781,1276,1726,986,2410,3397,1667,1893,645,1180,429,355,1036,7399,93.13248,53,29
SEA,1999,N,3108,6946,1363,1960,1042,2483,3525,1878,1776,657,1153,345,546,1611,8125,3132,6941,1343,1795,1084,2611,3695,1939,1839,590,1258,433,440,1292,8047,95.63824,45,37
TOR,1999,N,2980,6882,1583,2068,1098,2449,3547,1947,1989,666,1137,544,425,1171,7968,3002,6615,1631,2136,961,2552,3513,1790,1874,557,1250,442,346,1021,7981,94.73505,45,37
UTA,1999,N,2962,6380,1661,2150,936,2426,3363,2041,2013,629,1220,445,329,854,7914,2781,6240,1598,2141,887,2236,3123,1620,2023,588,1270,416,388,1097,7548,91.71485,55,27
VAN,1999,N,2892,6440,1594,2060,1005,2324,3328,1700,1881,609,1379,345,324,898,7702,3136,6612,1530,1990,970,2336,3307,1931,1912,723,1235,516,361,1083,8163,93.51566,22,60
WAS,1999,N,3010,6681,1566,2107,1064,2438,3502,1771,2149,594,1320,380,335,890,7921,3005,6547,1790,2405,962,2418,3381,1793,1967,686,1227,503,390,1052,8190,95.09479,29,53
ATL,2000,N,2876,6668,1374,1811,1028,2490,3518,1559,1863,634,1292,387,333,933,7459,2922,6609,1646,2153,1029,2534,3563,1737,1695,698,1158,513,396,1080,7886,93.16004,25,57
BOS,2000,N,2773,6485,1621,2190,897,2367,3264,1708,1952,769,1238,336,592,1633,7759,2935,6392,1634,2178,888,2650,3538,1885,1903,650,1325,440,430,1170,7934,94.14373,36,46
CHA,2000,N,2800,6501,1599,2146,1033,2608,3641,1900,1753,665,1124,455,340,984,7539,2767,6501,1444,1910,892,2436,3328,1748,1765,616,1145,375,389,1081,7367,91.44651,46,36
CHI,2000,N,2721,6411,1410,1909,926,2260,3186,1810,1902,675,1197,379,329,950,7181,2987,6330,1607,2202,957,2551,3508,1932,1752,635,1176,426,346,973,7927,90.89773,15,67
CLE,2000,N,2890,6532,1561,2040,1015,2440,3455,1708,1902,642,1297,436,220,659,7561,2927,6582,1633,2125,990,2400,3390,1880,1810,694,1174,542,422,1155,7909,93.15062,30,52
DAL,2000,N,3085,6716,1552,1954,831,2571,3402,1740,1907,618,1094,492,517,1357,8239,2938,6693,1631,2231,1068,2623,3691,1778,1846,622,1211,379,381,1140,7888,94.62409,53,29
DEN,2000,N,2979,6877,1448,1964,1044,2583,3627,1970,1820,552,1092,538,512,1444,7918,3081,6914,1542,2049,1012,2642,3654,2042,1760,588,1041,497,416,1168,8120,94.48702,40,42
DET,2000,N,2919,6880,1610,2233,1108,2626,3734,1629,1955,613,1265,447,389,1112,7837,2976,6850,1596,2169,1012,2671,3683,1860,2062,669,1219,397,428,1229,7976,96.88737,32,50
GSW,2000,N,2937,7175,1428,2024,1345,2385,3730,1788,1727,742,1253,410,282,964,7584,3179,6740,1529,2011,1039,2693,3732,2045,1764,722,1302,493,439,1159,8326,95.86308,17,65
HOU,2000,N,2943,6494,1582,2086,919,2524,3443,1613,1657,587,1136,358,504,1412,7972,3020,6733,1385,1862,988,2420,3408,1735,1770,605,1055,400,359,1015,7784,92.15653,45,37
IND,2000,N,2828,6431,1539,2009,921,2595,3516,1763,1925,563,1173,487,396,1159,7591,2829,6683,1572,2074,1042,2495,3537,1695,1882,589,1072,387,377,1121,7607,91.8205,41,41
LAC,2000,N,2896,6467,1429,2061,962,2559,3521,1585,1775,490,1212,513,360,1063,7581,2995,6799,1474,1983,1042,2439,3480,1791,1795,638,996,412,354,1075,7818,92.16402,31,51
LAL,2000,N,3109,6685,1594,2333,1085,2583,3668,1888,1872,564,1137,490,439,1275,8251,2983,6815,1595,2114,981,2407,3388,1659,2002,619,1021,324,413,1168,7974,93.97305,56,26
MIA,2000,N,2694,6258,1423,1874,813,2435,3248,1630,1725,633,1076,304,478,1384,7289,2701,6261,1339,1818,914,2528,3442,1421,1824,598,1208,424,360,1087,7101,88.84671,50,32
MIL,2000,N,3112,6798,1474,1874,975,2500,3475,1844,1928,672,1082,386,562,1481,8260,2912,6626,1679,2186,1014,2490,3504,1883,1778,592,1216,350,439,1246,7942,93.7961,52,30
MIN,2000,N,3148,6871,1364,1737,1002,2470,3472,2083,1899,682,1105,456,322,901,7982,2977,6588,1567,2164,967,2505,3472,1834,1656,583,1181,357,350,996,7871,93.63316,47,35
NJN,2000,N,2781,6550,1629,2146,909,2337,3246,1603,1982,649,1139,407,361,1084,7552,2937,6452,1664,2231,1001,2622,3623,1840,1808,619,1258,522,428,1189,7966,93.1644,26,56
NYK,2000,N,2755,6198,1374,1727,773,2524,3297,1520,1863,545,1132,346,391,1115,7275,2568,6159,1478,2015,872,2418,3290,1573,1754,596,1147,338,445,1266,7059,88.46595,48,34
ORL,2000,N,3013,6873,1476,2068,1069,2450,3519,1803,2071,674,1216,481,490,1346,7992,2830,6499,1885,2566,1061,2609,3670,1793,1946,695,1325,440,366,1059,7911,95.6247,43,39
